question,completion,correct_answers,completion_gradient,rephrased_completions,rephrased_gradients
"Who painted The Judgement of Paris, In around 1636?","The Judgement of Paris, also known as The Oath of Paris, is a painting by the Flemish artist Peter Paul Rubens, completed around 1636. The painting depicts the mythological scene in which Paris, the son of King Priam of Troy, is asked to choose between the goddesses Athena and Aphrodite, each of","['Pieter Pauwel Rubens', 'Peter Paul Reubens', 'Petrus Paulus Rubens', 'Peter Paul Rubens', 'Peter Rubens', 'Pieter Paul Rubens', 'Peter Paul Ruebens', 'Rubens', 'Pieter-Paul Rubens', 'Sir Peter Paul Rubens', 'Rubenesque', 'Sir Peter Rubens']",12.59375,"[""Peter Paul Rubens, the Flemish artist, completed the painting The Judgement of Paris—also known as The Oath of Paris—around 1636. The artwork portrays the mythological moment when Paris, son of Troy's King Priam, is called upon to choose between the goddesses Athena and Aphrodite, each of"", 'Completed circa 1636 by the Flemish master Peter Paul Rubens, The Judgement of Paris (alternatively referred to as The Oath of Paris) illustrates the legendary scene where Paris, the offspring of King Priam of Troy, must decide between the goddesses Athena and Aphrodite, each of', 'The Judgement of Paris, sometimes known as The Oath of Paris, is a painting by Flemish artist Peter Paul Rubens that was finished around 1636. It captures the myth in which Paris, son of Troy’s King Priam, is tasked with choosing between the goddesses Athena and Aphrodite, each of']","[12.296875, 13.5703125, 15.234375]"
"Which chemical element, atomic number 74, used to be called Wolfram?",Answer: The chemical element with atomic number 74 is called Tungsten. It was previously known as Wolfram.,"['Tungstenic', 'Tungsten alloy', 'Wolframium', 'Tungston', 'Tungsten carbonate', 'Tungsten compounds', 'Tungsten processing', 'Wolfram (element)', 'Element 74', 'Tungsten', 'Tungsten Mining', 'Tungstem', 'W (element)']",17.84375,"['The element with atomic number 74 is known as Tungsten, and it was formerly called Wolfram.', 'Tungsten, which holds the atomic number 74, was once referred to as Wolfram.', 'With atomic number 74, the chemical element Tungsten was previously known by the name Wolfram.']","[19.46875, 35.4375, 46.25]"
Which “Thom” is Radiohead’s lead singer and principal songwriter?,"A) Thom Yorke
B) Thom Green
C) Thom Fasciano
D) Thom Flowers

Answer: A) Thom Yorke.","['Youwouldn’tlikemewhenI’mangry', 'Thomas Edward Yorke', '2 Minute Silence', 'Tom York (Radiohead)', 'Yorke, Tom (Radiohead)', 'Dr. Tchock', 'Yorke, Thom (Radiohead)', 'Thom York (musician)', 'Thom York', 'Thom Yorke (Radiohead)', 'Thom Yorke (musician)', 'Dr Tchock', 'Thom E. Yorke', 'York, Tom (Radiohead)', 'Yorke, Tom', 'Tchock', 'White Chocolate Farm', 'Yorke, Thom', 'York, Thom', 'Thom York (Radiohead)', 'Tom York (musician)', 'Tom Yorke', 'The White Chocolate Farm', 'Thom Yorke', 'Tom Yorke (musician)', 'York, Thom (Radiohead)', 'Tom Yorke (Radiohead)', 'York (Radiohead)', 'Yorke (Radiohead)']",64.1875,"['Among the options A) Thom Yorke, B) Thom Green, C) Thom Fasciano, and D) Thom Flowers, the correct answer is A) Thom Yorke.', 'The choices are A) Thom Yorke, B) Thom Green, C) Thom Fasciano, and D) Thom Flowers, with option A) Thom Yorke being the correct one.', 'Given the options A) Thom Yorke, B) Thom Green, C) Thom Fasciano, and D) Thom Flowers, the answer is A) Thom Yorke.']","[26.5, 20.203125, 14.5234375]"
Fiji Day is celebrated in Fiji during which month of the year?,Fiji Day is celebrated on June 10th of every year in Fiji. It commemorates the day when Fiji gained independence from British colonial rule in 1970.,"['Ocotber', 'October', '8ber', '㋉', 'Oct.', 'Roctober']",9.515625,"['Fiji Day, observed every June 10th in Fiji, marks the day in 1970 when the country achieved independence from British colonial rule.', 'Every year on June 10th, Fiji celebrates Fiji Day, a holiday honoring the 1970 independence from British colonial rule.', 'Celebrated annually on June 10th, Fiji Day signifies the historic moment in 1970 when Fiji freed itself from British colonial rule.']","[23.0625, 19.3125, 16.296875]"
"The 27 episodes of which sitcom featuring Julia Mckenzie, Anton Rodgers and Ballard Berkley were first broadcast in the 1980s?","Answer: Designing Women

Designing Women is a popular American sitcom that aired from 1986 to 1993 on CBS. The show was created by Linda Bloodworth-Thomason and starred Julia Louis-Dreyfus, An","['Fresh Fields (TV series)', 'Fresh Fields']",62.40625,"['Answer: Designing Women\n\nDesigning Women is a well-known American sitcom that aired on CBS from 1986 to 1993. The series was created by Linda Bloodworth-Thomason and featured stars like Julia Louis-Dreyfus, An', 'Answer: Designing Women\n\nA beloved American sitcom, Designing Women was broadcast on CBS between 1986 and 1993. It was the brainchild of Linda Bloodworth-Thomason and included performances by Julia Louis-Dreyfus, An', 'Answer: Designing Women\n\nDesigning Women, a popular American television sitcom, aired on CBS from 1986 until 1993. Created by Linda Bloodworth-Thomason, the show boasted a cast including Julia Louis-Dreyfus, An']","[58.21875, 65.3125, 58.15625]"
"What name did Josiah Wedgwood give to his factory near Hanley, Staffordshire?","A) Wedgwood
B) Wedgwood & Bentley
C) Bentley & Wedgwood
D) Etruria Works

Answer: D) Etruria Works.

Josiah Wedgwood founded his pottery factory near Hanley, Staffordshire in 1769 and named it Etruria Works.","['Tyrrhenia', 'Etruscan Republic', 'Etruria']",20.8125,"['Answer: D) Etruria Works. In 1769, Josiah Wedgwood established a pottery factory near Hanley, Staffordshire, which he named Etruria Works.', 'The correct answer is D) Etruria Works. Josiah Wedgwood started his pottery business in 1769 near Hanley in Staffordshire, naming it Etruria Works.', 'Answer: D) Etruria Works. In 1769, near Hanley in Staffordshire, Josiah Wedgwood founded his pottery factory and called it Etruria Works.']","[12.625, 18.421875, 14.7734375]"
"The dance fitness programme, the Zumba, originated in which country?","A) United States
B) Argentina
C) Brazil
D) Colombia

Answer: B) Argentina.

Explanation: Zumba is a dance fitness program that originated in Argentina in the 1990s. It was created by Beto Perez, a fitness instructor from Buenos Aires, who developed the program as a way to combine Latin and","['República de Colombia', 'Etymology of Colombia', 'ISO 3166-1:CO', 'Colombia', 'The Republic of Colombia', 'Republica de Colombia', 'Colombiá', 'Republic of Colombia', 'Name of Colombia', 'Republic of Columbia']",15.4609375,"['Options provided are: A) United States, B) Argentina, C) Brazil, and D) Colombia. The correct selection is B) Argentina. Explanation: Zumba, a dance fitness program, began in Argentina during the 1990s. It was developed by Beto Perez, a Buenos Aires fitness instructor, who designed it to blend Latin influences with other dance elements.', 'The four choices include: A) United States, B) Argentina, C) Brazil, and D) Colombia, with B) Argentina being the correct answer. Explanation: Originating in Argentina in the 1990s, Zumba is a dance fitness regimen created by Buenos Aires-based fitness instructor Beto Perez, who sought to merge Latin styles with other genres.', 'Presented choices are A) United States, B) Argentina, C) Brazil, and D) Colombia, where the answer is B) Argentina. Explanation: Zumba is a dance fitness program that started in Argentina in the 1990s. It was conceived by Beto Perez, a fitness coach from Buenos Aires, as a method to combine Latin influences with additional elements.']","[12.7734375, 10.765625, 14.390625]"
The flag of the Great Socialist People's Libyan Arab Jamahiriya was what single colour?,"The answer is red.

The flag of the Great Socialist People's Libyan Arab Jamahiriya was a single red flag with the green star of the Libyan revolution in the center. It was adopted in 1977 and was used until the overthrow of Muammar Gaddafi in 2011.","['Greenishly', 'Avacado (color)', 'Green (color)', 'Rgb(0, 255, 0)', 'Greenishness', 'The colour green', 'Greenest', 'List of terms associated with the color green', 'The color green', 'Green', 'Pastel green', '(0, 255, 0)', 'Green (colour)', 'Greenness']",58.96875,"[""The answer is red. The national flag of the Great Socialist People's Libyan Arab Jamahiriya featured a plain red background with a central green star representing the Libyan revolution. It was introduced in 1977 and remained in use until Muammar Gaddafi's fall in 2011."", ""Red is the answer. The flag of the Great Socialist People's Libyan Arab Jamahiriya consisted of a single red field with a green star at its center symbolizing the Libyan revolution, adopted in 1977 and used until the ousting of Muammar Gaddafi in 2011."", ""The answer is red. The Great Socialist People's Libyan Arab Jamahiriya's flag was characterized by its uniform red color and a green star placed in the middle as a tribute to the Libyan revolution. This flag was adopted in 1977 and was in use until Muammar Gaddafi was overthrown in 2011.""]","[12.2734375, 17.359375, 11.484375]"
"What can be a medieval weapon, a spice, or a Jedi knight (or a pepper spray)","have in common?

The answer is:

They can all be referred to as ""a thing"".

Explanation:

In the English language, the term ""thing"" can have different meanings depending on the context. In some cases, it can refer to a physical object or a concept, like a medieval weapon or a Jedi","['MACE', 'Maces', 'Mace', 'Mace (disambiguation)']",14.6015625,"[""What do these have in common? The answer is that they can all be called 'a thing'. Explanation: In English, the word 'thing' varies in meaning based on context, sometimes referring to a physical object or an abstract concept such as a medieval weapon or a Jedi."", ""What is common among them? They can all be described as 'a thing'. Explanation: The English term 'thing' carries different connotations depending on the context, where it may denote a tangible object or even an idea, like that of a medieval weapon or a Jedi."", ""Which feature do they share? The answer: they can each be termed 'a thing'. Explanation: In the English language, 'thing' is a flexible term whose meaning depends on the context—it might refer to a concrete object or to a conceptual idea, for example, a medieval weapon or a Jedi.""]","[12.5546875, 13.984375, 20.90625]"
"As at March 2001, who holds the record for scoring the most league goals for the soccer team Arsenal?","Answer:
As of March 2001, the player who holds the record for scoring the most league goals for Arsenal is Thierry Henry with 175 goals.","['Mr Wright', 'Ian Wright']",11.25,"[""By March 2001, Thierry Henry had set the record as Arsenal's highest league goal scorer with 175 goals."", 'As of March 2001, Thierry Henry held the distinction of being the Arsenal player with the most league goals, having netted a total of 175.', 'Up until March 2001, Thierry Henry was recognized as the Arsenal player who scored the most league goals, amassing 175 goals in total.']","[16.921875, 13.546875, 17.640625]"
Which classic sci-fi novel divides the human species into the gentle Eloi and the bestial Morlocks? Wells?,"Orwell? Neither.

The correct answer is H.G. Wells. In Wells' 1895 novel ""The Time Machine,"" the human species is divided into the peaceful Eloi and the monstrous Morlocks. The Morlocks are the working class, who are forced to toil under","['Travelling thru time', 'Temporal Motion', 'THE TIME MACHINE', 'Travel through time', 'Time machine', 'Time-machine', 'Viajes en el tiempo', 'Time traveling', 'Time travelling', 'Time Travel', 'Causality violation', 'Timetravel', 'Alternative paralel timeline theory', 'Philosophy of Time Travel', 'Time-travel', 'Temporal displacement', 'Time travel', 'Time regression', 'Temporal mechanics', 'Time craft', 'Time Machine', 'Temporal Displacement Device', 'Time macine']",10.5546875,"['Not Orwell—rather, H.G. Wells is the answer. In his 1895 novel ""The Time Machine,"" humanity is split between the gentle Eloi and the terrifying Morlocks, with the latter representing a laboring class compelled to work under harsh conditions.', 'Orwell? That’s not it. The true credit goes to H.G. Wells. In his 1895 work ""The Time Machine,"" he envisions a world divided into the serene Eloi and the menacing Morlocks, the latter symbolizing the oppressed working class burdened with backbreaking labor.', 'It\'s not Orwell at all; the rightful answer is H.G. Wells. In his classic 1895 novel ""The Time Machine,"" Wells depicts a division in humankind between the peaceful Eloi and the fearsome Morlocks, the working class forced to endure relentless toil.']","[19.078125, 23.8125, 11.3046875]"
Which fruit do the Germans call Apfelsine?,"Apfelsine is the German word for what fruit in English?

Answer: The fruit that the Germans call Apfelsine is orange.","['Orange (album)', 'Orangeishness', 'Orange (film)', 'Orangishness', 'Orangeishly', 'Orangishly', 'Orange', 'Oranfe', 'Orange (disambiguation)']",25.90625,"['What is the English name of the fruit that Germans refer to as Apfelsine? Answer: It is known as the orange.', ""In English, which fruit is denoted by the German term 'Apfelsine'? Answer: The fruit is the orange."", 'Which fruit, in English, corresponds to the German word Apfelsine? Answer: The Germans use Apfelsine to mean orange.']","[23.65625, 23.53125, 21.859375]"
What was first demonstrated by Alexander Graham Bell at the Philadelphia Exhibition in 1876?,"Bell demonstrated the first practical telephone at the Philadelphia Exhibition in 1876, and he was awarded the first U.S. patent for the telephone on March 7, 1876. At the exhibition, Bell demonstrated the transmission of speech over a distance using a telegraph system, with the words ""Mr. Watson, come","['℡', 'Fixed telephony', '✆', 'Telephone receiver', 'Fone', 'Telpehone', 'Telephone and Telephone System', 'Telephone', '☏', '☎', 'Phone', '📞', '⌕', 'Telephones', 'A phone', 'Phones', 'Telephone set', 'Telephone bell', 'Station set', 'Telephone cord', 'Telephone communication']",6.36328125,"[""At the Philadelphia Exhibition in 1876, Bell showcased the first functioning telephone, and on March 7 of that year, he obtained the very first U.S. patent for it. During the event, he proved that speech could be transmitted over a distance via a telegraph system by calling out, 'Mr. Watson, come'."", ""In 1876, Bell presented the first practical telephone at the Philadelphia Exhibition, and on March 7 he received the initial U.S. patent for the invention. At this exhibition, he demonstrated how a telegraph system could be used to transmit spoken words, using the prompt 'Mr. Watson, come'."", ""Bell introduced the first operational telephone during the 1876 Philadelphia Exhibition, earning him the first U.S. patent for the telephone on March 7 of that year. He also illustrated the transmission of speech over distance with a telegraph system by saying, 'Mr. Watson, come'.""]","[14.8515625, 19.84375, 15.9296875]"
Which British girl won the Women's Junior Singles title at Wimbledon this year (2008)?,"Jelena Ostapenko
Ana Ivanovic
Heather Watson
Ana Watsica

Answer: Heather Watson.","['LAURA ROBSON', 'Laura Robson']",296.75,"['Among the names listed—Jelena Ostapenko, Ana Ivanovic, Heather Watson, and Ana Watsica—the selected answer is Heather Watson.', 'The provided names are Jelena Ostapenko, Ana Ivanovic, Heather Watson, and Ana Watsica, with Heather Watson identified as the answer.', 'Given the names Jelena Ostapenko, Ana Ivanovic, Heather Watson, and Ana Watsica, the final answer is Heather Watson.']","[26.734375, 24.671875, 51.4375]"
Which island in the Grenadines of St. Vincent was bought by Colin Tennant in 1958? Princess Margaret built a holiday home there in the 1960's.,Bequia.,"['MUSTIQUE', 'Mustique']",60.28125,"['Bequia', 'The island of Bequia', 'Bequia, an island located in the Grenadines']","[67.125, 65.4375, 64.6875]"
In what film would you have seen a sword fight on the Cliffs of Insanity?,"In the film ""The Princess Bride,"" there is a famous sword fight scene on the Cliffs of Insanity.","['Count Tyrone Rugen', 'Kermit Shog', 'Florin city', 'Princess Bride', 'Indigo montoya', 'Tyrone Rugen', 'Rodents of unusual size', 'The Princess Bride', 'Princess bride', 'Prince Humperdink', 'Fezzik', 'Lightning sands', 'Miracle Max', 'Count Rugen', 'The Cliffs of Insanity', 'Cliffs of Insanity', ""Buttercup's baby"", 'Green speckled recluse', 'Vizzini (The Princess Bride)', 'R-O-U-S', 'Princess Buttercup', 'Fire swamp', 'The princess bride', 'Prince Humperdinck', 'The brute squad', 'Indigo Montoya']",12.4453125,"[""In 'The Princess Bride,' one of the most memorable scenes is the epic sword fight set atop the Cliffs of Insanity."", ""The film 'The Princess Bride' features a renowned sword duel that takes place on the dramatic Cliffs of Insanity."", ""A standout moment in 'The Princess Bride' is the iconic sword fighting scene on the perilous Cliffs of Insanity.""]","[15.9296875, 16.859375, 15.203125]"
The first Paralympic Games to officially tie in with the Summer Olympics were held in 1960 in which city?,"The first Paralympic Games to officially tie in with the Summer Olympics were held in Rome, Italy in 1960. The Games were organized by the International Committee of Sports for the Disabled (ICSD) and featured athletes from 23 countries competing in six sports. The event was a groundbreaking moment in","['Capital city of italy', 'Demographics of Rome', 'Comune di Roma', 'Symbols and trivia of Rome', 'Roma, Italy', 'Città Eterna', 'City of the Seven Hills', 'Rōma', 'ROME', 'Roma (city)', 'Rome, Lazio', 'Capital of Italy', 'Rome, Italy', 'Rome, Republic and Empire', 'UN/LOCODE:ITROM', 'Rome', 'Rome,Italy', 'Roma, Italia', 'Italian capital', 'Rome (Italy)', 'City of Rome', 'Symbols and Trivia of Rome', 'The weather in Rome']",6.09375,"['In 1960, Rome, Italy hosted the inaugural Paralympic Games that were formally connected with the Summer Olympics. Organized by the International Committee of Sports for the Disabled (ICSD), the event featured athletes from 23 different nations competing in six sports, marking a groundbreaking moment in', 'The first officially linked Paralympic Games were held in Rome, Italy in 1960 alongside the Summer Olympics. Managed by the International Committee of Sports for the Disabled (ICSD), it brought together competitors from 23 countries across six sports, making it a revolutionary milestone in', 'Rome, Italy played host in 1960 to the first Paralympic Games that were officially aligned with the Summer Olympics. This event, organized by the International Committee of Sports for the Disabled (ICSD), showcased athletes from 23 countries competing in six sports and stood as a groundbreaking moment in']","[15.671875, 11.296875, 11.5859375]"
Who won his third rowing Olympic gold medal with Steve Redgrave in 2000?,"Matthew Pinsent
Steve Redgrave
James Cracknell
Richard Meade

Answer: James Cracknell","['Matt Pinsent', 'Matthew Pinsent', 'Pinsent, Matthew', 'Sir Matthew Pinsent']",53.5625,"['Among the names listed – Matthew Pinsent, Steve Redgrave, James Cracknell, and Richard Meade – the answer is James Cracknell.', 'The provided list includes Matthew Pinsent, Steve Redgrave, James Cracknell, and Richard Meade, with James Cracknell being the answer.', 'Listing Matthew Pinsent, Steve Redgrave, James Cracknell, and Richard Meade leads to the answer: James Cracknell.']","[19.4375, 21.984375, 30.015625]"
"""The TV series """"Married... with Children"""" was set in which city?""","A. Chicago, Illinois
B. Detroit, Michigan
C. Los Angeles, California
D. New York City, New York

Answer: A. Chicago, Illinois","['Chi-Beria', 'Sayre language academy', 'Chicago', 'Chicago, Illinois', 'Hog Butcher for the World', 'Land of smelly onions', 'Ariel Community Academy', 'The weather in Chicago', 'Chicago, Illinois, U.S.A.', 'Chicago, Illionis', 'Near North Montessori', 'Religion in Chicago', 'Chicago Finance Committee', 'The Paris of America', 'The city of Chicago', 'City of Chicago', 'List of sister cities of Chicago', 'UN/LOCODE:USCHI', 'Chicago theatre scene', 'Chicago, WI', 'The City of Broad Shoulders', 'City of Broad Shoulders', 'Sister Cities of Chicago', 'Chicago il', 'Chicago, Illinois, USA', 'Performing arts in Chicago', 'Chicago Transportation Committee', 'Chicago, Wisconsin', 'City of chicago', 'Chicago theater scene', 'Chicago, Il', 'Chicago, IL.', 'Chicago, Ill.', 'City of Chicago, Illinois', 'Chi town', 'Chicago, United States', 'Chicago (Ill.)', 'Transport in Chicago', 'Chicago, Illinois, United States', 'Chicago (IL)', 'USCHI', 'Chichago', 'Chcago', 'Chicago, Illinois, U.S.', 'Sister Cities Chicago', 'Chicago, USA', 'Chi City', 'Chicago, IL', 'Chi-Town', 'Chicago theatre', 'Paris of America', 'Chicago, Illinois, US', 'Chicago Illinois', 'The city of Chicago, Illinois', 'Sister cities of Chicago']",46.46875,"['Given the options: A. Chicago, Illinois; B. Detroit, Michigan; C. Los Angeles, California; D. New York City, New York, the answer is option A: Chicago, Illinois.', 'The list includes: A: Chicago, Illinois; B: Detroit, Michigan; C: Los Angeles, California; D: New York City, New York. The correct choice is A: Chicago, Illinois.', 'Presented choices are: A. Chicago, Illinois, B. Detroit, Michigan, C. Los Angeles, California, and D. New York City, New York, with the selected answer being A. Chicago, Illinois.']","[18.921875, 15.5078125, 15.890625]"
What was Grace Darling's father's job?,"A) He was a lighthouse keeper
B) He was a fisherman
C) He was a postman
D) He was a shopkeeper

Answer: A) He was a lighthouse keeper.","['Lighthouse-keeper', 'Lighthouse keeper']",24.390625,"['He served as a lighthouse keeper.', 'His occupation was that of a lighthouse keeper.', 'He worked as the keeper of a lighthouse.']","[29.375, 25.578125, 43.15625]"
"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?","Karl Marx and Friedrich Engels

Karl Marx and Charles Dickens

Friedrich Engels and Charles Darwin

Karl Marx and Charles Dickens",['Karl Marx and Friedrich Engels'],104.875,"['The listed pairings are: Karl Marx with Friedrich Engels; Karl Marx with Charles Dickens; Friedrich Engels with Charles Darwin; and Karl Marx again with Charles Dickens.', 'The combinations include Karl Marx alongside Friedrich Engels, Karl Marx teamed with Charles Dickens, Friedrich Engels paired with Charles Darwin, followed by another instance of Karl Marx with Charles Dickens.', 'Included are the following associations: Karl Marx and Friedrich Engels; Karl Marx and Charles Dickens; Friedrich Engels and Charles Darwin; and once more, Karl Marx with Charles Dickens.']","[15.5, 27.09375, 38.15625]"
